stepcount,cte_dataheaderid,createdon,companyid,cte_stepcountid
185,328,2020-06-27 10:45:32.882868,,1078
185,328,2020-06-27 10:45:32.88287,,1079
0,332,2020-06-27 10:46:13.282996,,1080
0,332,2020-06-27 10:46:13.283003,,1081
47,332,2020-06-27 10:46:13.283004,,1082
88,332,2020-06-27 10:46:13.283006,,1083
88,332,2020-06-27 10:46:13.283007,,1084
142,332,2020-06-27 10:46:13.283009,,1085
142,332,2020-06-27 10:46:13.28301,,1086
142,332,2020-06-27 10:46:13.283012,,1087
142,332,2020-06-27 10:46:13.283013,,1088
0,336,2020-06-27 10:46:57.005064,,1089
43,336,2020-06-27 10:46:57.005072,,1090
43,336,2020-06-27 10:46:57.005074,,1091
90,336,2020-06-27 10:46:57.005075,,1092
90,336,2020-06-27 10:46:57.005077,,1093
90,336,2020-06-27 10:46:57.005078,,1094
142,336,2020-06-27 10:46:57.00508,,1095
142,336,2020-06-27 10:46:57.005081,,1096
142,336,2020-06-27 10:46:57.005082,,1097
0,340,2020-06-27 10:54:12.444512,,1098
36,340,2020-06-27 10:54:12.44452,,1099
36,340,2020-06-27 10:54:12.444522,,1100
65,340,2020-06-27 10:54:12.444523,,1101
65,340,2020-06-27 10:54:12.444525,,1102
65,340,2020-06-27 10:54:12.444526,,1103
87,340,2020-06-27 10:54:12.444533,,1104
87,340,2020-06-27 10:54:12.444535,,1105
87,340,2020-06-27 10:54:12.444537,,1106
0,344,2020-06-27 10:54:48.209308,,1107
22,344,2020-06-27 10:54:48.209314,,1108
22,344,2020-06-27 10:54:48.209316,,1109
66,344,2020-06-27 10:54:48.209317,,1110
66,344,2020-06-27 10:54:48.209319,,1111
66,344,2020-06-27 10:54:48.20932,,1112
66,344,2020-06-27 10:54:48.209321,,1113
66,344,2020-06-27 10:54:48.209323,,1114
66,344,2020-06-27 10:54:48.209325,,1115
0,348,2020-06-27 10:55:34.007824,,1116
21,348,2020-06-27 10:55:34.007832,,1117
21,348,2020-06-27 10:55:34.007834,,1118
66,348,2020-06-27 10:55:34.007835,,1119
66,348,2020-06-27 10:55:34.007837,,1120
0,352,2020-06-27 11:04:59.172421,,1121
37,352,2020-06-27 11:04:59.172428,,1122
37,352,2020-06-27 11:04:59.17243,,1123
55,352,2020-06-27 11:04:59.172431,,1124
55,352,2020-06-27 11:04:59.172432,,1125
55,352,2020-06-27 11:04:59.172434,,1126
55,352,2020-06-27 11:04:59.172435,,1127
55,352,2020-06-27 11:04:59.172437,,1128
55,352,2020-06-27 11:04:59.172438,,1129
